CSY word (Lat. orth.)	CSY word (Cyr. orth.)	Eng. gloss 1	Russ. gloss 1	ex'ples, etym, etc.	Eng. gloss 2	Eng. gloss 3	Russ. gloss 2	Russ. gloss 3	CSY word (Cyr.) num. eq.	Russ. gloss 1 num. eq.	Russ. gloss 2 num. eq.	Russ. gloss 3 num. eq.	queries, etc.	Eng. gloss 4	Russ. gloss 4	Russ. gloss 4 num. eq.	combined English gloss	combined Russian gloss	PE (PY) source	symantic code	Sib. source code	derived forms	postbase head form	postbase alphabetization form	alphabetization field B	CSY word (Cyrillic)
-taq				see @~:(u)taq													device for V-ing; instrument for V-ing						@~:(u)taq	taq	taq	
+taq1	-nf2	part (the N part of something)		tafsitaq ‘the belt part of something’, tafsitaa ‘its belt or belt-like part’ (from tafsi ‘belt’); yaqughtaq ‘the wing(like) part’ (from yaquq ‘wing’); uyghagtaq ‘the stone part’ (from uyghak ‘stone’); nanevgaghtaq ‘father’ (lexicalized from nanevgaq ‘old man’); naangqughtaq ‘ivory piece on keel of boat’ (lexicalized from naangquq ‘core of ivory’); napataq ‘pillar, especially a pillar-like mass of ice on ice field’ (from napa ‘post’); neghqwaaghtaq ‘bone running the length of the keel of a skin boat’ (lexicalized from neghqwaaq ‘bone’); usugtaq ‘tenon of skin boat frame member or sled frame member’ (lexicalized from usuk ‘penis’); savigtaq ‘blade’ (from savik ‘knife’); ggayegtaq ‘the part of a whale shoulder blade used as a lamp support’ (from ggayek ‘shoulder blade’); ighutaq ‘side pole of stretcher’ (from ighu ‘leg’)													the N part of something		pb PE -ta3-					taq1	taq1	-тақ
+taq2	-nf2	thing of N		Yupigtaq ‘(Yupik) Eskimo thing’ (from Yupik ‘St. Lawrence Is./Siberian Eskimo’); Laluramkataq ‘thing of the Caucasian culture’ (from Laluramka ‘Caucasian’); kiiwhtaq ‘dolly varden (Salvelinus malma)’ (from kiikw ‘river’); qavngaghtaq ‘thing of the past’ (from qavngaq ‘when (in the past), at some time in the past’); quyillegtaq ‘knee-high skin boot’ (lexicalized, from Quyillek ‘Chukchi’); ; uyavaghtaq ‘something from far away’ (from uyavaq ‘distance, far away’); ayumightaq ‘thing of long ago’ (from ayumiq ‘long ago’); kiigtaq ‘thing of last summer’ (from kiik ‘summer’)													thing of N		pb PE -ta3-					taq2	taq2	-тақ
+taq3	-nf2	acquired N		aghveghtaa ‘the whale he caught’ (from aghveq ‘whale’); qawaagtanka ‘the birds I caught’ (from qawaak ‘bird’)	caught N												acquired N; caught		< -te2-(g)aq					taq3	taq3	-тақ
+taq4	-nf2¢	disposition (one who is V by nature or ~)		used with emotional roots; kayngutaq ‘bashful person’ (from emotional root kayngu- ‘shame, bashfulness’); nangllegtaq ‘compassionate person’ (from emotional root nanglleg- ‘feeling/inducing compassion’)	nature (one who is V by ~ or disposition)	one who is V by nature or dispostion											one who is V by nature or disposition							taq4	taq4	-тақ4
-te-	-øeπns-			see @~:(u)te-													to V for; to V with; to V each other; half-transitive or detransitivizing postbase for certain bases						@~:(u)te-	te	te	-(у)ты-
+te-1	-ns-¡	act on so as to cause to V		non-productive but occurs with many bases; it is not entirely predictable which bases will need these postbases to form transitives; tuqutaa ‘he killed it’ (from tuqu- ‘to die’); naangtaa ‘he used it up’ (from naange- ‘to be consumed’); ifkaghtaa ‘he dropped it or otherwise made it fall’ (from ifkagh- ‘to fall’); kagimtaa ‘he crumbled it’ (from kagime- ‘to crumble’); pugleghtaa ‘he brought it to the surface’ (from puglegh- ‘to come to the surface’); makregtaa ‘he peeled it’ (from makreg- ‘to peel’ (intransitive)); aantaa ‘he put it out(side)’ (from aane- ‘to go out(side)’); qelpeghtaa ‘he opened it’ (from qelpegh- ‘to open’); may be used – at least to a limited extent – after the postbase -yug- (q.v.): mighuyugtaatnga ‘they caused me to find it unappetizing’ (from mighuyug- ‘to find something unappetizing’); qinuyugtaa ‘he pestered her’ (from qinuyug- ‘to feel irritated from being pestered’); Vegaaghem sungaghyugtaqaa nuna. ‘The grass is making the land greenish in color.’ (from sugaghyug- ‘to be bluish or greenish in color’) (SULUWET 10)	cause to V												to act on so as to cause to V		pb PE -t-1					te1	te1	-ты-1
+te-2	-ns-™	go to N		used only on nouns for certain categories of things, namely places, game animals, supplies, periods of time; Sivuqaghtuq ‘he went to Gambell’ (from Sivuqaq ‘Gambell’); kiiwhtuq ‘he went to the river’ (from kiikw ‘river’); qiighqaghtuq ‘he went to the island’ (from qiighqaq ‘island’); nanughtuq ‘he caught a polar bear’ (from nanuq ‘polar bear’); qawaagtuq ‘he caught birds’ (from qawaak ‘bird’); quugtuq ‘he obtained firewood’ (from quuk ‘firewood’); uksughtuq ‘he sent the winter’ (from uksuq ‘winter’); aghneghtuq ‘spent the day’ (from aghneq ‘day’); neqetuq ‘he caught fish or game, obtained food’ (from neqae ‘food’)	catch N (game)	obtain N								spend N (time)			to go to N; to catch N; to obtain N; to spend N (time)		pb PE -t-2					te2	te2	-ты-2
+te-3	-ns-£	have V or N		non-productive; occurs with nouns, verbs or roots denoting qualities or properties of a thing; kavituq ‘it is red’, kavilnguq ‘the red one’ (from root kaviq ‘redness’); sukatuq ‘it is fast’ (from root suka ‘speed’); papraangituq ‘he is vigorous’ (from papraangi ‘vigor’); uuynituq ‘he has body odor’ (from root uuyni ‘body odor’); aghipatuq ‘it is wet, raw’ (from aghipa ‘wetness’); kumlatuq ‘it is freezing’ (from root kumla ‘coldness’); aqlaghatuq ‘it is cold’ (from root aqlagha ‘cold (in air)’); muugatuq ‘it is sweet’ (from muuga ‘sweetness’)													to have V or N		pb PE t0-					te3	te3	-ты-3
+te-4	-ns-4	get into a V position		used with postural roots; ingaghtuq ‘he lay down’, ingaghtaa ‘he lay it down’ (from root inghagh- ‘lying down’); iggagtuq ‘it tilted’, iggagtaa ‘he tilted it’ (from root iggag- ‘tilting’); sivugtuq ‘he raised his (own) head’, sivugtaa ‘he raised his (another’s) head’ (from root sivug- ‘head tilted up’)	put into a V position	position (get or put into a V ~)											to get into a V position; to put into a V position							te4	te4	-ты-ӷ
+(te)sigate-	-ønsπcbufns-	prevent one from V-ing		this is a “compound verbal” postbase; aanesigataa ‘he didn’t let him go out’ (from aane- ‘to go out’); Ilanga tepesluku, iingunaan tepesigataat. ‘Pulling part of them onto the beach, they did not allow all come to the beach [at one time].’ (from tepe- ‘to come to the shore’) (SIVUQ. NANGHAGH. 3:134); te is used with bases that ending a consonant;  iteghtesigataa ‘he didn’t let him come in’ (from itegh- ‘to come in’); Repall atangan qavaghtesigalkanga saama neghesigalkanga. ‘His father didn’t let him sleep and didn’t let him eat.’ (from qavagh- ‘to sleep’, and negh<e>- ‘to eat’) (UNGIPAGHAGH. 67)	keep one from V-ing	allow (not ~ one to V)								let (not ~ one V)			to prevent or keep one from V-ing; to not allow one to V; to not let one V		< -(te)ste-igate-				+(te)sigate-	tesigate	tesigate	-(ты)сигаты-
+(te)snaanghite-	-ønsπcy]6y4bns-	tell one not to V in the future		this is a “ompound verbal” postbase; Nunalgutemnun qagavek talwa kinkunun iteghtesnaanghitamken, … ‘I will not allow you to take up residence with anyone in town, …’ (from iteghte- ‘to go (move) in (with)’) (SIVUQ. NANGAGH. 2:246)	forbid one from V-ing in the future								what is the difference between this and -(te)snanigh-?				to tell one not to V in the future; to forbid one from V-ing in the future		< -(te)ste-naanghite-				+(te)snaanghite-	tesnanghite-	tesnxnghite-	-(ты)сньāнӷиты-
+(te)snanigh-	-ønsπcy]6yb4-	tell not to V		this is a “compound verbal” postbase; tugusnanighaa ‘he told someone not to take it’ (from tugu- ‘to take’); neghesnanighaa ‘he told her not to eat; he told someone not to eat it’ (from negh<e>- ‘to eat’); ingaghtesnanighaa ‘he told her not to lie down’ (from ingaghte- ‘to lie down’); qavaghtesnanighaa ‘he told her not to sleep’ (from qavagh- ‘to sleep’)	forbid one to V												to tell not to V; to forbid one to V		< (te)ste-nanigh-				+(te)snanigh-	tesnanigh	tesnanigh	-(ты)сньāниӷ-
+(te)ste-	-ønsπcns-	cause one to V		this is a “compound verbal” postbase; qiyastaa ‘it made him cry’ (from qiya- ‘to cry’); taaqestaa ‘he made her quit’ (from taaqe- ‘to quit’); ingaghtestaa ‘she made him lie down’ (from ingaghte- ‘to lie down’); te is used with bases ending in a consonant: qavaghtestaa ‘she let him sleep’ (from qavagh- ‘to sleep’); iyataghtestaa ‘it made him hungry’ (from iyatagh- ‘to be hungry’); aghnam taghnughhaghmun iqalluk neghestaa ‘the woman had the child eat the fish’ (from neghe- ‘to eat’)	let one V	make one V								have one V			to cause one to V; to allow one to V; to make one V; to let one V; to have one V		pb PE -tit-				+(te)ste-	teste	teste	-(ты)сты-
+(te)stegpe-	-ønsπcns[gs-	before one (other than subject of main verb) V-s		this combination of the postbases -(te)ste- ‘to let’, -gpe- ‘without’, and the transitive subordinative marked by -na-, may be used in place of the precessive mood when the subject of the 'before' clause is different from the subject of the main clause and especially (though not exclusively) when the situation is such that the literal meaning, 'without letting one V' is not a possible interpretation; this is apparently the one situation in this language in which the compound-verbal postbase +(te)ste- is used in a purely formal sense in order to satisfy the constraint on the subordinative that its subject be the same as that of the main verb (though this is a common use of cognates of this postbase in other Eskimo languages); aanunga aghtestegpenaan ‘I went out before day broke’ (literally: ‘I went out without letting day break’ (compare the construction with the precessive: aanunga aghpagilgan which has the same meaning) (from aghte- ‘for day to break’); aanunga neghestegpenaki ‘I went out without letting them eat’ (which is the literal meaning) or, ‘I went out before they ate’ (which is an alternative to the construction with the precessive mood, aanunga neghvagilgata which also means ‘I went out before they ate’)													before one (other than subject of main verb) V-s		< -(te)ste-ghpe-				+(te)stegpe-	testegpe	testegpe	-(ты)стыхпы-
+(te)stepag-	-ønsπcnsgfu-	cause one to V too much		this is a “compound verbal” postbase	allow one to V too much								examples needed				to cause or allow one to V too much		< -(te)ste-pag-				+(te)stepag-	testepag	testepag	-(ты)стыпаг-
+(te)sug-	-ønsπc/u-	want one to V		a compound-verbal postbase; aanesugaa ‘he wants her to go out’ (from aane- ‘to go out’); qavaghtesugaa ‘he wants her to sleep’ (from qavagh- ‘to sleep’)													to want one to V				< -(te)ste-yug-		+(te)sug-	tesug	tesug	-(ты)сюг-
?tghute-	-n5ens-	miss the mark by shooting too much toward N		used on demonstrative adverb and positional bases; ukatghutuq ‘his shot fell short’ (from uka(ni) ‘this side’); qayetghutaa ‘he did more toward it than needed’ (from qayae ‘surface’); awatghutuq ‘he overshot’, awatghutaa ‘he overshot it’ (from awa(ni) ‘over there’); also qaasghutaa ‘he overshot it’ (from qayae ‘top surface’)	miss out on V-ing												to miss the mark by shooting too much toward N; to miss out on V-ing		pb PE -t3ut0-					tghute	tghute	-тҳуты-
+ti-	-nb-	speak the language of N		Laluramkatiiq ‘he's speaking English (or possibly another language of Caucasians)’ (from Laluramka ‘Caucasian’); Ayuqlightiiq ‘he's speaking mainland Eskimo (Inupiaq or Central Yup'ik)’ (from Ayuqliq ‘Alaskan Eskimo’); Quyillegtiiq ‘he's speaking Chukchi’ (from Quyillek ‘Chukchi’); generally used only with languages other than Yupik, though some people do say, Yupigtiiq ‘he's speaking (Yupik) Eskimo’ (from Yupik ‘St. Lawrence Is./Chukotkan Eskimo’)													to speak the language of N							ti	ti	-ти-
-tke-	-øeπnrs-			see @~:(u)tke-													to V over or on account of						@~:(u)tke-	tke	tke	-(у)ткы-
+tmiighte-	-nv]75ns-	go in the N direction		used with some demonstrative adverb bases and with positionals; sanitmiightuq ‘he’s going to the side’ (from sani ‘area to side’); awatmiightuq ‘he’s going away’ (from awa(ni) ‘over there’); ketmiightuq ‘it’s going down river or out to sea’ (from ketae ‘area toward out to sea’ -- note ketmiighte- and not *ketetmiighte-); kiwatmiightuq ‘he’s going to the west or to the back’ (from kiwa(ni) ‘in area in the west or in back’); ilutmiightuq ‘he’s going inwards’ (from ilu ‘inside, interior’)													to go in the N direction		pb PY tmi(C)a3t0- and tmu3t0-					tmighte	tmxghte	-тмьӣҳты-
+tmun	-nv]ey	toward N		used on positional bases and some demonstrative adverb bases; yields particles; asitmun ‘downward’ (from asi ‘area below’); natmun ‘toward where?’ (from na(ni) ‘where’); awatmun ‘toward over there’ (from awa(ni) ‘over there’); ketmun ‘toward the water’ (irregularly, from ketae ‘area toward water’)													N-ward; toward N							tmun	tmun	-тмьун
±tu-	-ne-	have a lot of N		takes the forms +tu-, and -tu-; generally the first form is used with verbs, the second with nouns and with dimensional roots; nuyaghtuuq ‘he has a lot of hair’ (from nuyaq ‘hair’); imaghtuuq ‘it is full’ (from imaq ‘contents’); ukazightuuq ‘it has a lot of rabbits’ (from ukaziq ‘rabbit’); ighlegtuuq ‘he is always stingy’ (from ighleg- ‘to be stingy’; note, not *ighletuuq); saqfituuq ‘he is splay-footed’ (from saqfigh- ‘to point toes out’); qavatuuq ‘he is always sleepy’ (from qavagh- ‘to sleep’); ameltuuq ‘it is broad’ (from root amel- ‘breadth’); iqetuuq ‘it is wide’ (from root iqe- ‘width’)	lot (have a ~ of N)	habitually V											to have a lot of N; to V habitually		pb PE -tu-					tu	tu	-ту-
+tugh-1	-ne4-¡	eat N		ayveghtughtuq ‘he ate walrus’ (from ayveq ‘walrus’); Taawa mangtagtuutaqukut tesamani. ‘We would eat muktuk down there [at the beach].’ (from mangtak ‘muktuk’) (SIVUQ. NANGAGH. 2:148); also probably, qavangughtughtuq ‘he had a dream’ (from qavanguq ‘dream’)													to eat N		pb PE -tu3-1					tugh1	tugh1	-туӷ-1
+tugh-2	-ne4-™	keep on V-ing		avegtughaa ‘he diced it’ (from aveg- ‘to divide in two’); iigtughaa ‘he dug it up’ (from iigge- ‘to dig’); keligtughaa ‘he scraped away at it’ (from kelig- ‘to scrape’); pilagtughaa ‘he repeatedly cut it, he sawed it’ (from pilag- ‘to cut’)	repeat (V by ~ed actions)												to keep on V-ing; to V by repeated actions		pb PE -tu3-2					tugh2	tugh2	-туӷ-2
+tulli-	-nek]b-	feasible (for it to be getting ~ to use N or to go V-ing)		angyaghtulliiq ‘it is getting feasible to hunt by boat, the weather is improving’ (from angyagh- ‘to go out hunting in a boat’)													for it to be getting feasible to use N or to go V-ing							tulli	tulli	-тульи-
+tuumagh-	-n8vf4-	together with one's N(s)		used in the quantifier/qualifier construction; ighneghtuumaghmi ‘with his son’ (from ighneq ‘son’); unugtuumaan ‘(during) the night as well’ (from unuk ‘night’); aghneghtuumaan ‘day and night’ (from aghneq ‘day’); Quyngightuumaghmenguq anguyangluteng anagumalghiit qavaghnanighnaqngameng Aasameng. ‘Together with their reindeer, it is said, they fled from Aasa when they couldn’t get any sleep after getting enemies [who gave them no rest].’ (from quyngiq ‘reindeer’) (SIVUQ. NANGAGH. 3:2)	with one’s N(s)												together with one's N(s)							tumagh	txmagh	-тӯмаӷ-
+tupag-	-negfu-	eat too much N		tawaqatupagtuq ‘he smoked or chewed too much tobacco’ (from tawaqa ‘tobacco’); Quyngiit tuqughllagumalghii, entaqunnguq taakwani qavaghtalleghmi taghyughtupagllagem. ‘Their reindeer all died off maybe on account of getting too much salt by overnighting down there [on the sea ice].’ (from taghyuq ‘salt’) (SIVUQ. NANGAGH. 3:6)	use too much N												to eat or use too much N		< -tugh1-pag-          					tupag	tupag	-тупаг-
±tuqaq	-ne2f2	lots (one that has ~ of N)		examples: nuyaghtuqaq ‘hairy one; one with long hair’ (from nuyaq ‘hair’); ighlegtuqaq ‘person who is always stingy’ (from ighleg- ‘to be stingy’); saqfituqaq ‘person who is splay-footed’ (from saqfigh- ‘to point toes out’); akituqaq ‘expensive thing’ (from aki ‘price’); qagughtuqaq ‘one with a high forehead’ (from qaguq ‘forehead’); qiingutuqaq ‘bearded animal (reindeer)’ (from qiingu ‘reindeer beard’); mulutuqaq ‘slow thing or person’ (from mulu- ‘to tarry’); temketuqaq ‘hummocky ground’ (from temkae ‘hummock, tussock’); ameltuqaq ‘wide, broad or stout thing’ (from root amel- ‘wide’)	habitual V-er												one that has lots of N; one that V-s habitually		< -tu-qaq					tuqaq	tuqaq	-туқақ
-tuute-				see ~+(q/t)uute-													to V as a group; to V together						~+(q/t)uute-	tute	txte	
+tutka-	-nenrf-	be V to an indicated degree		used with descriptive verbs; umututkaaq ‘it is that thick’ (from umu- ‘to be thick’); usqaghtutkaaq ‘it is that high’ (from usqagh- ‘to be high’); angtutkaaq ‘it is that big’ (from root ange- as in angli- ‘to grow’, aange- ‘to be big’); tagtutkaaq ‘it is that long’ (irregularly from root take- as in taake- ‘to be long’); tagneghtutkaluni ‘(it)  being that dark’ (from tagneq ‘darkness’); uniistaaghtutkaaq ‘it is that soft’ (from uniistaaq ‘soft thing’)	have N to an indicated degree												to be V or have N to an indicated degree		< -tu-?-					tutka	tutka	-тутка-
+tutkaligh-	-nenrfkb4-	measure the approximate V of (it)		postbase +tutkaligh-; examples: Saagtengan tagtalngi, tenpeyaghqaagpenaki sangwaa six-feet entaqun five-feet tawaten uyatutkalighaqaput. ‘We kept the harness line an approximate length five or six feet, so that it won’t run into them [the reindeer].’ (from root uya- ‘distance’) (SIVUQ. NANGAGH. 2:90)													to measure the approximate the V of (it)							tutkaligh	tutkaligh	-туткалиӷ-
																	U							u		
-u-				see ~:(ng)u-													to be N; is N; for there to be N (weather condition); to be V-ing; to be V-habitually or as an occupation; while in the process of V-ing						~:(ng)u-	u	u	
?ugh-	-e4-	completely V		probably non-productive; aavgughaa ‘he cut it up completely’ (from aveg- ‘to divide’); angaghqughaa ‘he transported all of it’ (from angaghqe- ‘to convey’); ikughaa ‘he cut it all up’ (from root ike- as in iike- ‘to remove a piece’); kumaghughtuq ‘it (the flame) has grown’ (from kumagh- ‘to be lit’)													to V completely		pb PE -(C)u3-					ugh	ugh	-уӷ-
:ughagh-	-e4f4-	thoroughness (V with ~ or force)		probably non-productive; alingughaghtuq ‘he winced’ (from alinge- ‘to be afraid’); avuughaghaa ‘he divided it quickly’ (from avugh- ‘to sort’); sapughaghii ‘he repeatedly covered them (from root sape- as in saape- ‘to cover’)	force (V with thoroughness or ~)												to V with thoroughness or force							ughagh	ughagh	-уӷаӷ-
?ughqe-	-e52s-	become N		at most marginally productive; ipapiighquq ‘it came to pass’ (from ipapik ‘truth, reality’); kanuughqaa ‘he accidently got blood on it’ (from kanuk ‘blood spot’); kumlaaghquq ‘it got frozen’ (from root kumla- ‘coldness’); iqaaghquq ‘he got dirty’ (from iqa ‘dirt’); puyuughquq ‘it got sooty’ (from puyuq ‘soot’)	get N on (self or other)												to become N; to get N on (self or other)		< -(ng)ughte-ghqe-              					ughqe	ughqe	-уҳқы-
~fughtagh-	-e5nf4-	all (V ~ things available)		probably non-productive; used only with bases that end in e; neghughtaghaa ‘he ate it all’ (from negh<e>- ‘to eat’); uguqughtaghtuq ‘he got badly burned’ (from uguqe- ‘to get burned’); ungangughtaghtuq ‘he caught a lot of sea mammals’ (from unange- ‘to catch sea mammal(s)’)	completely V												to V all things available; to V completely							ughtagh	ughtagh	-уҳтаӷ-
-ughte-				see ~:(ng)ughte-													to become N; for there to start to be N (weather condition)						~:(ng)ughte-	ughte	ughte	
-uma-				see @~:(i/u)ma-													to have V-ed or been V-ed; to be in a state of having V-ed or been V-ed; with participial mood: to evidently have V-ed or been V-ed						@~:(i/u)ma-	uma	uma	
-umafte-				see @~:(i/u)mafte-													how much subject evidently has V-ed!						@~:(i/u)mafte-	umafte-	umafte-	
-umagh-				see at @~:(i/u)magh-													while V-ing						@~:(i/u)magh-	umagh	umagh	
-uman				see @~:(i/u)man													the time while V-ing; the course of V-ing						@~:(i/u)man	uman	uman	
-umanginagh-				see @~:(i/u)manginagh-													V-ing every time; V-ing the whole time						@~:(i/u)manginagh-	umanginagh	umanginagh	
-umangite-				see @~:(i/u)mangite-													to not have V-ed						@~:(i/u)mangite-	umangite	umangite	
@~:(u)n	-øeπy	device for V-ing		non-productive; kingin ‘youngest child’ (from kingi- ‘to act babyishly (as of a child whose mother is expecting’); u is used with all bases except those ending in a full vowel: guutun ‘weapon’, guututnga or guututanga ‘his weapon’ (from guute- ‘to shoot’); meghun ‘dipper’ (from megh- ‘to drink’); yaavuquun ‘oar’ (from yaavuqugh- ‘to continue to row’); iviighun ‘whaling song’ (from iviigh- ‘to hold a certain whaling ceremony’); ighlleghun ‘harpoon head’ (from ighllegh- ‘to thrust’); iinqun ‘pet name for a child’ (from iinqe- ‘to coo a child using a pet name’); kagsagun ‘dog whip’ (from kagsagte- ‘to whip’); kasugun ‘club’ (from kasug- ‘to beat’); ilagaan ‘hymn, shaman’s song’ (from ilagagh- ‘to sing’ via *ilagaghun); ipegsaan ‘whetstone’ (from ipegsagh- ‘to whet’); (keviin ‘insulation (usually made of grass)’ (from kevigh- ‘to stuff, to insulate’ via *kevighun); neqnighsaan ‘spice, seasoning’ (from neqnighsagh- ‘to make tasty’); natiin ‘heavy sinew thread for sewing on soles’ (from natigh- ‘to provide with a sole’); naghpiin ‘lasso’ (from naghpigh- ‘to lasso’); note the following expressions of repeated occurence of an event: ighivgaatanga tamaghhaan ‘every evening’ (from ighivgaq ‘yesterday’); aghhutanga tamaghhaan ‘every day’ (from aghte- ‘to become day’); = -(u)tae, -(u)taq	instrument for V-ing												device for V-ing; instrument for V-ing		pb PE un (ut0-)				@~:(u)n	un	un	-(у)н
@~:(u)saq	-øeπcz2	something that has been V-ed		used with verbs of giving; tuyuusaq ‘something sent’ (from tuyugh- ‘to send’); tunusaq ‘a gift to give’ (from root tune- as in tuune- ‘to give’); akequsaq ‘something promised’ (from akeqe- ‘to promise’)	been (something that has been V-ed)												something that has been V-ed						@~:(u)saq	usaq	usaq	-(у)сяқ
@~:(u)siq	-øeπcb2	device for V-ing		tugusiq ‘device for taking or picking up things’ (from tugu- ‘to take’); neghusiq ‘eating utensil’ (from negh<e>- ‘to eat’); aatusiq ‘device to help one get dressed’ (from aate- ‘to get dressed’); igaasiq ‘writing device, pencil, pen’ (from igagh- ‘to write’); gaaghusiq ‘device for cooking, pot’ (from gaagh- ‘to cook’); aallgusiq ‘sweeping device, broom’ (from alleg- ‘to sweep’); navghaasiq ‘loan, something pawned or otherwise loaned out’ (from navghagh- ‘to borrow’)	instrument for V-ing												device for V-ing; instrument for V-ing		pb PE -uci3				@~:(u)siq	usiq	usiq	-(у)сиқ
@~:(u)ta	-øeπnf	device for V-ing		non-productive except with the meaning  ‘condition with respect to V-ing’ (see further below); meghuta ‘dipper, cup’, meghutanga ‘his dipper’, meghutka ‘my dipper’ (from megh- ‘to drink’); tegguta ‘splint’ (from tegge- ‘to be hard’); ungipaghaata ‘traditional story’; Ungazighmiit ungipaghaatangit ‘the stories of the Chaplino people’ (from ungipaghagh- ‘to tell a story’); gguta ‘tooth’, ggutet ‘teeth’; ggutanga or guutnga ‘his tooth’ (from egge- ‘to crimp with teeth’); examples of usage ‘condition with respect to V-ing’ (note that this can involve a special use of the absolutive case): aaptaanga aghnam neghumatanga (or neghumatangameng) ‘he asked me whether the woman ate’, aaptaanga qavngaq aghnam neghumatanga (or neghumatangameng) ‘he asked me when the woman ate’, aaptaanga aghnamun neghumatanga (or neghumatangameng) iqalluk ‘he asked me whether the woman ate the fish’, aaptaanga neghumaten (or neghumategpeneng) ‘he asked me whether you ate’ (all from neghuma- ‘to have eaten’); Qugagsighaq akuutaq, neqekrangllaghyaghqaq Paapgem taawanginaq nallukegkanga sangutanga. ‘Papek didn’t know the sour mixture, the bread dough, what it was.’ (from sangu- ‘to be what?’) (IGHSANITALGHII AFSENGAQ :9); Examples of usage ‘one’s being V as a cause of something’: iknaqutmeggneng ‘since they were strong, from their being strong’ (from iknaqe- ‘to be strong’); Quyngiqlu taana naangkaayalghii, tuqughllakaayalghii Qiighqaq una ungagiighutem angtalnganeng. ‘And the reindeer came to an end, died off, on account of this island being depleted of its reindeer moss to a large extent.’ (from ungagiigh- ‘to be come to lack reindeer moss’) (SIVUQ. UNGIPAM. 20); Tawaten ayuqutmineng Atayaghhaq upenghaatanga tamaghhaan tespamavek aliganneghtuftuq elngaatall. ‘From his being that way Atayaghhaq every spring liked very much to go there.’ (from ayuqe- ‘to be a certain way’) (PANGEGH. 18); = -(u)n, -(u)taq	instrument for V-ing	condition with respect to V-ing (whether, how, when, where, etc. one V-s or has V-ed)								cause (one’s being V as a ~ of something)			device for V-ing; instrument for V-ing; condition with respect to V-ing (whether, how, when, where, etc. one V-s or has V-ed); one’s being V as a a cause of something		pb PE un (ut0)				@~:(u)tae	uta	uta	-(у)та
@~:(u)taq	-øeπnf2	device for V-ing		non-productive; angyaataq ‘food for use while hunting with a boat’ (lexicalized from angyagh- ‘to hunt by boat’); napaataq ‘pole and flag for signaling during a hunt’ (from napagh- ‘to erect’); qavraataq ‘ladle, stirring spoon’ (from qavragh- ‘to mix’); meghataq ‘soda pop, soft drink’ (from megh- ‘to drink’); ayagutaq ‘device for pushing a boat away from the ice or for pushing ice away from a boat’ (from ayag- ‘to push off’); = -(u)n, -(u)tae	instrument for V-ing												device for V-ing; instrument for V-ing						@~:(u)taq	utaq	utaq	-(у)тақ
@~:(u)te-	-øeπns-	for (V ~)		inghutaa ‘he picked berries for her’ (from inghu- ‘to pick berries’); repangutaa ‘he bought (or otherwise obtained) a hammer for him’ (from repange- ‘to acquire a hammer’); kuuvutaa ‘he spilled it along with others’ (from kuuve- ‘to spill’); aanutaa ‘he took it out with him’ (from aane- ‘to go out’); kaatutaa ‘he arrived with it, brought it with him’ (from kaate- ‘to arrive’); mayuutaa ‘he took it up’ (from mayugh- ‘to go up’); ukigutaa ‘he took it down’ (from ukig- ‘to go down’); ingaghtutaa ‘he lay down with him’ (from ingaghte- ‘to lie down’); kaagutaa ‘he hit with it’ (from kaaw- ‘to hit’); iitghutaa ‘he brought it in’ (from itegh- ‘to go in’); tughumaghatuk ‘they2 are wrestling with each other’ (from tughumagha- ‘to wrestle’); serves as the detransitivizing or "half-transitive" postbase for certain bases, in place of -i-1 (q.v.): naalkutuq ‘he found something’ (from naalke- ‘to find’); tugutuq ‘he took something’ (from tugu- ‘to take’); aqfatuq ‘he fetched something’ (from aqfa- ‘to fetch’); ipugutuq ‘he scooped up something’ (from ipug- ‘to scoop up’); kayusiituq ‘he helped out’ (from kayusigh- ‘to help’); note that with bases that ends in gte-, the te is dropped when this postbase is used: makregutuq ‘he peeled something’ (from makregte- ‘to peel’ (transitive)); maligutuq ‘he accompanied someone’ (from maligte- ‘to accompany’) (contrast the situation with bases that end in vowel te, for example kaate- above, or ghte-, for example ingaghte- above  – though the pattern is not entirely clear)	with (V together ~)	each other (V ~)								half-transitive postbase			to V for; to V together with; to V each other; half-transitive or detransitivizing postbase for certain bases		pb PE -ut0-				@~:(u)te-	ute	ute	-(у)ты-
+uute-	-8ns-	sound (make the N ~)		used with words denoting sounds or things that make sounds; levekluguutuq ‘it is making a deep low sound’ (from levekluk ‘deep low sound’); kafsaguutuq ‘it is making a rustling sound’ (from kafsak ‘rustling sound’); miiguutaa ‘he is pounding on it’ (from miik ‘loud noise, like thunder’); mengqughuutuq ‘it made a popping sound (from mengquq ‘popping sound’); qenaaghquutuq ‘he made the rustling sound of walking on pebbles’ (from qenaaq ‘pebble, coarse sand’ and intervening postbase); eftughuutuq ‘there’s the sound of gunfire’ (from eftuq ‘sound of gunfire’); lengaaghuutuq ‘it rang’ (from lengaaq ‘bell’); levekleguutuq ‘it made a deep hollow sound’ (from levekluk ‘deep hollow sound’); also aanghutuq ‘it made sparks’ (from aneq ‘spark’)													to make the N sound							ute	xte	-ӯты-
-uute-				see ~+(q/t)uute-													to V as a group; to V together						~+(q/t)uute-	ute	xte	
