CSY word (Lat. orth.)	CSY word (Cyrillic)	CSY word (Cyr. orth.)	combined English gloss	Eng. gloss 1	Eng. gloss 2	Eng. gloss 3	Eng. gloss 4	ex'ples, etym, etc.	combined Russian gloss	derived forms	queries, etc.	PE (PY) source	Sib. source code	symantic code	alphabetization field A	alphabetization field B
teflingigh-	тыфльиңиӷ-	nsak]b3b4-	to wipe one's mouth	wipe one's mouth				teflingightuq 'he wiped his (own) mouth'; teflingighaa 'he wiped his (another's) mouth' /				< tefli(ng)igh-			teflingigh-	teflingigh-
teflingiisiq	тыфльиңӣсиқ	nsak]b37cb2	towel, napkin, etc., used to wipe one's mouth	towel, napkin, etc., used to wipe one's mouth								< teflingigh-(u)siq			teflingisiq	teflingxsiq
Tefliq	Тыфльиқ	Nsak]b2	former village northeast of Old Chaplino in Chukotka	former village northeast of Old Chaplino in Chukotka				see Map 3 in Appendices				< tefte-liq (?)			Tefliq	Tefliq
teflitu-	тыфльиту-	nsak]bne-	to have a lot of crud around one's mouth	crud around one's mouth (have a lot of ~)				teflituuq 'his mouth area is very dirty' /				< tefli-tu			teflitu-	teflitu-
tefsaghug-	тыфсаӷуг-	nsacf4eu-	for wind to be blowing over and down a hill or mountain	wind blows over and down a hill or mountain				nallanga tefsaghulguftuq ‘the area in front of it has wind blowing down’					CK A & W 123		tefsaghug-	tefsaghug-
tefte-	тыфты-	nsans-	to lean over; to drape over	lean over	drape over			teftuq 'he leaned over something'; teftaa 'he draped it over something' / teftengngaaq (or tevngaaq) 'it is draped over something'				< teve-te1-			tefte-	tefte-
tefutaq	тыфутақ	nsaenf2	ceiling, made of reindeer skin, of the aagra, the insulated inner room of traditional dome-shaped house	ceiling, made of reindeer skin, of the insulated inner room of traditional dome-shaped house				Chukotkan (R)					CK Rub 520		tefutaq	tefutaq
tegak	тыгак	nsufr	rutting bearded seal (Erignathus barbatus)	rutting bearded seal	Erignathus barbatus (bearded seal) rutting			said to smell like gasoline				PE t0!!a!			tegak	tegak
tegetuwaaq	тыгытуӱāқ	nsusne162	arctic cinquefoil roots (Potentilla hyparctica)	arctic cinquefoil roots	cinquefoil, arctic, roots	Potentilla hyparctica roots						cf. Central Yup’ik t0x0Xpak ‘cinquefoil’			tegetuwaq	tegetuwxq
teggaaghqe-	тыхāҳқы-	ns[652s-	to stiffen from being frozen	stiffen from being frozen				uksumi aghvigat eslakun agaghlleghhiini aga teggaaghqaqii ‘when hanging washed clothes in the winter, they become frozen and stiff’				< tegge-?-ghqe£-	CK A & W 124		teggaghqe-	teggxghqe-
tegge-	тыхы-	ns[s-						root; > teggaaghqe-, teggellghiigh-, teggeq, teggmag-, teggughte-, teggun, teggussiisiq, teggusiita; cf. tekagh-, tekruqaq				PE t0!0!-			tegge-	tegge-
teggellghiigh-	тыхыльҳӣӷ-	ns[sk]574-	to be afraid, hiding one's fear from others; to feel scared inside	afraid, hiding one's fear from others (be ~)	scared (feel ~ inside)			naayvami mekelghiighhaat esghaghluki kanaghnayukata teggellghiighutkumkaniiqii ‘when he saw the boys in the frozen lake, he got scared inside that they might step through (thin ice)’; Sivungameng tagiiqngami teggellghiiqaaniiquq iflangwaaghanayukami ‘when he was coming from Savoonga, he says he got scared inside lest he get lost'				< tegge-?-	CK A & W 124		teggellghigh-	teggellghxgh-
teggeq	тыхық	ns[s2	hard wood	hard wood								< tegge-?-			teggeq	teggeq
teggi-	тыхи-	ns[b-	to stiffen; to harden	stiffen	harden			aningwaaghaa teggiluni imangumalghii ‘his boil got hard then it got puss’; paninang teggiluni ayuquq kilillgha ‘his cut still is as when it got hard’				< tegge-(gh/l)i-	CK A & W 124		teggi-	teggi-
teggmag-	тыхмьаг-	ns[v]fu-	to be stiff	stiff (be ~)								< tegge-?-			teggmag-	teggmag-
teggmagsaasiq	тыхмьахся̄сиқ	ns[v]f[c9cb2 	iron for clothes	iron for clothes				Chukotkan (V&E)	en/u			< teggmag-sagh-(u)siq	CK V & E 82		teggmagsasiq	teggmagsxsiq
teggmak	тыхмьак	ns[v]fr	stiff thing	stiff thing								< tegge-?			teggmak	teggmak
teggughte-	тыхуҳты-	ns[e5ns-	to compress into a hard ball	compress into a hard ball								< tegge-(gh)ughte-			teggughte-	teggughte-
teggun	тыхун	ns[ey	splint	splint				also tegguta				< tegge-(u)n			teggun, tegguta	teggun, tegguta
teggusiisiq	тыхусӣсиқ	ns[ec7cb2	stretcher	stretcher				used in the dual, teggusiisik, for one stretcher				< tegge-(u)sigh-(u)siq			teggusisiq	teggusxsiq
teggusiita	тыхусӣта	ns[ec7nf	stiffener	stiffener				also teggusiin				< tegge-(u)sigh-(u)ta			teggusita	teggusxta
tegh-	тыӷ-	ns4-						root; > teghsagh-, teghtugh-; = tagh-; cf. teghlugte-				PE 0t03-			tegh-	tegh-
teghaghnak	тыӷаӷнак	ns4f4yfr	center part of a whale's tail between the flukes	center part of a whale's tail between the flukes				veghak qamestiighyaqmegtekek teghaghnak siiptuk ‘when they cut up the whale's tail, the left out the center part’; teghaghnak iiklukek angyalgem taglaasimaak ‘they removed the center part between teh whale's flukes, and the captain brought it home’					CK A & W 124		teghaghnak	teghaghnak
teghhmalleq	тыҳмьальық	ns5v]fk]s2	hole for shaft in harpoon point	hole for shaft in harpoon point								< teq-?-lleq			teghhmalleq	teghhmalleq
teghhmiikwaaq	тыҳмьӣкӱāқ	ns5v]7r162	liquid driping from a tilted container	liquid driping when a tilted container				egllumun uqiisikek teghhmiikwaaghllaguuk ‘the stove oil drips from the container that they used to fill the tank’					CK A & W 124		teghhmikwaq	teghhmxkwxq
teghhute-	тыҳуты-	ns5ens-	to have sexual intercourse					slang -- considered offensive							teghhute-	teghhute-
teghhwaaghigh-	тыҳӱāӷиӷ-	ns5164b4-	to laugh hard with delight	laugh hard with delight											teghhwaghigh-	teghhwxghigh-
teghig-	тыӷиг-	ns4bu-	having fun; enjoying oneself	fun (having ~)	enjoying oneself			emotional root: teghigyugtuq ‘he's having fun’; teghignaghtuq ‘it’s fun’; teghikaa or teghiyukaa ‘he considers it fun’; teghignatun ‘enjoyably’; Tagi naghaalgusighyaghtughqung. Whani teghignapigtuq! ‘Come play with us. It’s really fun here!’ (SULUWET 19)							teghig-	teghig-
teghiigh-	тыӷӣӷ-	ns474-	to pursue (of dogs pursuing an animal)	pursue (of dogs pursuing an animal)								< teghik-(ng)igh- (?)			teghigh-	teghxgh-
teghightugh-	тыӷиҳтуӷ-	ns4b5ne4-	to stalk; to pursue	stalk	pursue							< teghik-?-			teghightugh-	teghightugh-
Teghiglugsiq	Тыӷиглюхсиқ	Ns4buk/[cb2	February; March	February	March			also given in one source as April				< teghigluk-siq			Teghiglugsiq	Teghiglugsiq
teghigluk	тыӷиглюк	ns4buk/r	young bearded seal (Erignathus barbatus)	young bearded seal	bearded seal, young	seal (young bearded ~)	 Erignathus barbatus (bearded seal) young					< teghik-?-			teghigluk	teghigluk
teghigniigh-	тыӷигнӣӷ-	ns4buy74-	to hunt	hunt								< teghik-niigh-			teghignigh-	teghignxgh-
teghigniqe-	тыӷигниқы-	ns4buyb2s-	to have fun; to enjoy something	fun (have ~)	enjoy something			teghigniquq ‘he’s having fun; enjoying something’ / teghigniqutkaa ‘he's enjoying it’				< teghig-neq-liqe-			teghigniqe-	teghigniqe-
teghigsigh-	тыӷихсиӷ-	ns4b[cb4-	to sing a song to attract game (of a shaman)	sing a song to attract game (of a shaman)								< teghik-sigh-	CK A & W 124		teghigsigh-	teghigsigh-
teghik, teghigaq	тыӷик, тыӷигақ	ns4br. ns4buf2	game animal (sea or land, not birds)	game animal (sea or land, not birds)				Ugingan meghem teghikusaa tamaghhaan unakaqegkanga. Uksungagu nunivagem teghiga unakaqegkanga. ‘Her husband caught all the animals of the sea. When winter came he caught the game animals of the tundra.’ (UNGAZ. UNGIP. 43)				PE t03i!			teghik, teghigaq	teghik, teghigaq
teghikusaq	тыӷикусяқ	ns4brecz2	animal (including game animal and dog)	animal (including game animal and dog)								< teghik-?-			teghikusaq	teghikusaq
teghingyug-	тыӷиңьюг-	ns4b3]/u-	to suddenly start to enjoy oneself	enjoy (suddenly start to ~ oneself)				yuuk napinghinnaqngwaaghluni aghulaquutaghtaquyatata qenwat teghingyugluni ellngallu aghulaqumalghii ‘a man wasn’t going hunting at first, but when the others all left, he wanted to go too for the fun, so he too went to go hunting’					CK A & W 125		teghingyug-	teghingyug-
teghla	тыӷля	ns4kz	owl; snowy owl (Nyctea scandiaca)	owl	snow owl	Nyctea scandiaca		Chukotkan; Teghlam tuguluku ellngaasitaq, uugtuq uyghagmun, taagken kuuvaa ellngaasitaq. Maateghhaq meteghlluk tagneghtaa. 'The owl took the container of oily sooty lamp residue, got up on the rock, and then poured it forth. Now the raven became all black.' (AANGHHAQ 28) 			check what specific type of owl, or if a general term	from Chukchi t0q0l ‘Arctic owl’		01, 14	teghla	teghla
teghleg-	тыӷлыг-	ns4ksu-	fastened securely over something	fastened securely over something				postural root; teghlegtaa 'he fastened it securely over something' / teghlegngaaq 'it is fastened securely over something'			taghlugte- in Rub 483				teghleg-	teghleg-
teghlug-1	тыӷлюг-1	ns4k/u-¡	to land from the sea onto the beach	land from the sea onto the beach				teghlugtuq 'it landed' / teghlukan 'if it lands'							teghlug-1	teghlug-1
teghlug-2	тыӷлуг-2	ns4keu-™	to escape under ice (of a struck sea mammal)	escape under ice (of a struck sea mammal)				unangkaqa teghlugtaa pinaqinaamaluku ‘the seal I hit went under the ice just as I was trying to get it’					CK A & W 125		teghlug-2	teghlug-2
teghlugte-	тыӷлюхты-	ns4k/[ns-	to roll one's eyes upwards	roll one's eyes upwards				teghlugtuq 'he rolled his eyes upwards' / teghlugtekan 'if he rolls his eyes'; cf. tegh-							teghlugte-	teghlugte-
teghqig-	тыҳқиг-	ns52bu-	to wipe anal area	wipe anal area				teghqigtuq 'he wiped his (own) anal area'; teghqigaa 'he wiped his (another's) anal area' /				< teq-?-			teghqig-	teghqig-
teghqilkak	тыҳқилькак	ns52bk]rfr	wheatear (Oenanthe oenanthe); brant (Branta bernicia)	wheatear	Oenanthe oenanthe	brant	Branta bernicia	these two very different appearing birds have the same name					SLI Cur. Man. 55, 56		teghqilkak	teghqilkak
teghqiisghaq	тыҳқӣсӷақ	ns527c4f2	toilet paper; gun wad	toilet paper	gun wad							< teghqig-?-			teghqisghaq	teghqxsghaq
teghrughaaq	тыӷруӷāқ	ns4he462	the "v"-shaped part between the flukes in the tail of a whale	part between the flukes in the tail of a whale								< teq-?-			teghrughaq	teghrughxq
teghrughte-	тыӷруҳты-	ns4he5ns-	to double or shorten a rope by looping it over something, threading the end through the loop and tightening it; to tie loosely	double or shorten a rope by looping it over something, threading the end through the loop and tightening it	tie loosely			sayughqusini taaqluku tugumavigkun teghrughutaa ‘when he was done with the motor starter rope, he tied it loosely it over the handle’				< teq-?-	CK A & W 125		teghrughte-	teghrughte-
teghrughutilleq	тыӷруӷутильық	ns4he4enbk]s2	lark’s head knot	lark’s head knot								< teghrughte-(u)te-i1-lleq1	SLI Cur. Res. Manual 120		teghrughutilleq	teghrughutilleq
teghruq	тыӷруқ	ns4he2	nail puller of a hammer	nail puller of a hammer				teghrulek repa naagu ‘where is the hammer with a nail puller’; whaken teghrulegmeng iikigu ‘take it off with this claw hammer’				< teq-?	CK A & W 125		teghruq	teghruq
teghsagh-	тыҳсяӷ-	ns5cz4-	to awaken (him); to wake (him) up	awaken (him)	wake (him) up			teghsaghaa ‘he woke him up’ / teghsanqegtuq ‘he is easy to wake up’; = taghsagh-				< tegh-?-			teghsagh-	teghsagh-
teghtugh-	тыҳтуӷ-	ns5ne4-	to wake up	wake up				teghtughtuq ‘he woke up’ / teghtughtaa ‘he woke him up’; = taghtugh-				< tegh-?-			teghtugh-	teghtugh-
teghuq	тыӷуқ	ns4e2	fleshy part of bird’s tail; notch in end of arrow	fleshy part of bird’s tail	notch in end of arrow			ghhiitalghiini papekullutii taakut teghut aliighaqut ‘when plucking bird’s tail feathers, the fleshy part appears’; used in the dual, teghuk, for the notch of the arrow				PY t03u	CK A & W 125		teghuq	teghuq
tegleg-	тыглыг-	nsuksu-	to steal	steal				teglegtuq ‘he stole’; teglegaa ‘he stole it’ / teglegvikaa ‘he stole from her or it’				PE t0!l0!-			tegleg-	tegleg-
teglengsaak	тыглыңся̄к	nsuks3c9r	thief	thief								< tegleg-?-			teglengsak	teglengsxk
tegtaan	тыхтāн	ns[n6y	working together	working together				particle; tegtaan angyateng sayugteghaqeftiit ‘it appears that they are all together pulling their boat’					CK A & W 125		tegtan	tegtxn
tegyuughiite-	тыгью̄ӷӣты-	nsum047ns-	to not be hesitant to express one’s thoughts; to be outspoken; to be daring	hesitant (not be ~ to express one’s thoughts)	daring (be ~)	outspoken (be ~)		tegyuughiilnguut sameng piyuneghmeggni legan pimaghmeng ayuqelghiit llangaqa sumeghtaghaghpenateng ‘when those that don’t hesitate to say anything want to say anything, they just do it, kind of like without thinking’							tegyughite-	tegyxghxte-
tekagh-	тыкаӷ-	nsrf4-	to have an erection	erection (have an ~)				of humans and animals; cf. tegge-				PY t0(k)ka3- (under PE t0!0!-)			tekagh-	tekagh-
tekaghreketiigh-	тыкаӷрыкытӣӷ-	nsrf4hsrsn74-	to continuously flow from small opening in the lower part of container	flow continuously from small opening in the lower part of container				mesiilghutak ukifkalleghqun tekaghreketiighaqeftuk ‘the fuel tank was leaking out liquid through the hole punctured in it’; angyam mellukutaa iiksaqminigu meq tekaghrekitiightuq ‘when the plug on the boat was removed (one could see that) water started to squirt through’			check, explained as: esnighalghiistun maaqilghii, which VK glosses as above	< tekagh-?-	A&W 125, Rub 514		tekaghreketigh-	tekaghreketxgh-
Tekeghaghwaaq	Тыкыӷаӷӱāқ	Nsrs4f4162	point on Powooiliak Bay  on St. Lawrence Is.	Powooiliak Bay (point on ~)				see Map 4 in Appendices					CK		Tekeghaghwaq	Tekeghaghwxq
Tekeghapak	Тыкыӷапак	Nsrs4fgfr	Tikaghapuk Pt. on St. Lawrence Is.	Tikaghapuk Pt. on St. Lawrence Is.				literally, ‘large (?) point’; see Map 4 in Appendices				< tekeghaq-?			Tekeghapak	Tekeghapak
tekeghaq	тыкыӷақ	nsrs4f2	projection of land into water; point of land	projection of land into water	point of land							< tekeq-ghaq; PE t0k03a3 (under PE t0k03)			tekeghaq	tekeghaq
Tekeghaq	Тыкыӷақ	Nsrs4f2	Tikugha Pt. on St. Lawrence Is.	Tikugha Pt. on St. Lawrence Is.				see Map 4 in Appendices				< tekeq-ghaq			Tekeghaq	Tekeghaq
tekeghin	тыкыӷин	nsrs4by	promonitory jutting out from an ice field	promonitory jutting out from an ice field	sea ice type			see item 79 on list in Oozeva et al. 2004				< tekeghaq-i2-(u)n			tekeghin	tekeghin
tekeghmigun	тыкыӷмигун	nsrs4vbuey	knob on shaft of ivory on small harpoon or spear to which line from harpoon/spear head is attached	knob on shaft of ivory on small harpoon or spear to which line from harpoon/spear head is attached							see Harpoon Parts in Appendix	< tekeq-mik-(u)n			tekeghmigun	tekeghmigun
tekeghregagh-	тыкыӷрыгаӷ-	nsrs4hsuf4-	to poke around with the index finger	poke around with the index finger				qavaanayukan tawavek tekeregaghyaqminigu teghhumaftuq ‘he poked him to see if he might be sleeping, but he was awake’; tekeregaghluku naasiighaa natennayukayek imakek meghutem ‘he put his finger in the can and tasted it to make sure it was not bad’				< tekeq-?-	CK A & W 126		tekeghregagh-	tekeghregagh-
tekelek	тыкылык	nsrsksr	one who sews a lot; talented sewer	talented sewer	sewer who sews a lot							< tekeq-lek			tekelek	tekelek
tekeq	тыкық	nsrs2	index finger; thimble	index finger	finger (index ~)	thimble						PE t0k03			tekeq	tekeq
tekerqaq	тыкышқақ	nsrsi2f2	point; protrusion; outer corner	point	protrusion	outer corner						< tekeq-?-			tekerqaq	tekerqaq
tekeyiighaq	тыкыӥӣӷақ	nsrsq74f2	arctic tern (Sterna paradisaea)	arctic tern	tern, arctic	Sterna paradisaea						PY t0kiyaq			tekeyighaq	tekeyxghaq
tekghaghte-	тыкҳаҳты-	nsr5f5ns-	to be swept backwards due to the speed at which something is moving	swept backwards due to the speed at which something is moving (be ~)				nasaperaan uyataa tekghaghtuq sukeram angtalanganeng ‘he was going so fast that the string on his hat was swept backwards’					CK A & W 126		tekghaghte-	tekghaghte-
tekin	тыкин	nsrby	middle pole of the traditional dome-shaped house, the mangteghapik (q.v.)    	middle pole of the traditional dome-shaped house				Chukotkan (R)					CK Rub 514		tekin	tekin
tekiina	тыкӣна	nsr7yf	the number four (in a counting or finger naming jingle for children)	four (the number ~ in a counting or finger naming jingle for children)	counting jingle (the number ‘four’ in a ~ or finger naming jingle for children)	jingle (the number ‘four’ in a counting or finger naming ~ for children)		cf. tekeq; the entire jingle is: aatati, pututati, aanqaghreki, tekiina, kumlu, aasi, taawra, qilughru, milughru, qughru 'one, two, three, four, five, six, seven, eight, nine, ten'							tekina	tekxna
tekiqe-	тыкиқы-	nsrb2s-	to find (it, garment) to be too small	find (it, garment) to be too small	small (find (it, garment) to be too ~)			kameraangluni tekiqsamikek naavghusaghtuumakek angelghiignun ‘he got a pair of boots, and it was too small for him, so he went back and traded it in for a bigger pair’; amiiqaq niightughyaghluku niillghek tekiqaak ‘they tried stretching a walrus hide, but the stretching frame was too small’					CK A & W 126		tekiqe-	tekiqe-
tekite-, tekiite-	тыкиты-, тыкӣты-	nsrbns-. nsr7ns-	to land (of something thrown, not of birds or planes); to hit	land (of something thrown, not of birds or planes)	hit the ground			tekituq ‘it landed’; tekitaa or tekitfikaa ‘it landed on it’ / Tekisami tipelem qaaynganilngughqun sagneghegneng neghumalghii neqekrangllameng. ‘When he (the lazy mouse) landed on the top of the table he ate the bread from the plate.’ (IGHSANI. AFSENG. 6); Iqulunga aqsamkun tekitunga. ‘I fell and landed on my stomach.’ (SLI JR. DICT. 33)							tekite-, tekite-	tekite-, tekxte-
tekranpak	тыкшанпак	nsrifygfr	strong person	strong person				amsakaghtapigesnaghhaguq taana yuggaq tekranpaggaaguq ‘that little man there is a strong person’; tamaakut amsakaghtat palaqegpenaki tekranpaguut ‘don’t underestimate those who are small, they are strong’; cf. tegge-					CK A & W 126		tekranpak	tekranpak
tekruqaq	тыкшуқақ	nsrie2f2	lump or hard spot in flesh	lump or hard spot in flesh				cf. tegge-							tekruqaq	tekruqaq
telaananga	тыля̄наңа	nsk9yf3f	sail	sail								from Chukchi t0lana&, pl. t0lana&at ‘means of travel or conveyance’ or t0lene& ‘sail’		14	telananga	telxnanga
telaananga-	тыля̄наңа-	nsk9yf3f-	to sail	sail											telananga-	telxnanga-
telaaypa	тыля̄ӥпа	nsk9qgf	snare; trap	snare	trap			also used in Chukotka				probably from English ‘trap’	R515	SLI Chuk.	telaypa	telxypa
telenwinanga	тылынӱинаңа	nsksy1byf3f	saw (cutting tool)	saw (cutting tool)				Chukotkan				from Chukchi t0n0lwena&, pl. t0n0lwena&at ‘saw’		14	telenwinanga	telenwinanga
temae	тымаы	nsvfs	torso; body; close relative; basic part of object	torso	body	relative, close	basic part of object	aghneghet puuneghmeggni temangit samantaqut meghmi ‘when whales surface for air, their bodies are under water’; qamiyem nalighneghqek ayemqughlutek naqam temkek pinightuk ‘part of a sled broke, but the body is good’				PE t0m0	CK Rub 515 on gloss 4		temae	temae
temeghnagh-	тымыӷнаӷ-	nsvs4yf4-	to try to cure illness through ritual	cure (try to ~ illness through ritual)								< tema-?-	CK A & W 126, Rub 516		temeghnagh-	temeghnagh-
temeghnaghta	тымыӷнаҳта	nsvs4yf5nf	ritual healer	healer (ritual ~)				ayumiq alignalghiit yuget temeghnaghtenguluki aaptaqiit ‘long ago, they would count on shamans as ritual healers’				< temeghnagh-(s)ta	CK A & W 126, Rub 516		temeghnaghta	temeghnaghta
temeghte-	тымыҳты-	nsvs5ns-	to cut into the flesh when skinning a carcass	cut into the flesh when skinning a carcass								< tema-?-			temeghte-	temeghte-
temitenge-	тымитыңы-	nsvbns3s-	to sympathize with a loved one who is ill or in trouble	sympathize with a loved one who is ill or in trouble											temitenge-	temitenge-
temkae	тымкаы	nsvrfs	hummock; tussock	hummock	tussock			temketuqaq ‘hummocky ground’; quyngit temkenginaghqun pangalwaaghtut ‘the caribou are running around only on the ground that is all hummocks’				from Chukchi t0mk0t ‘hummock’		14	temkae	temkae
temkak, temkaak	тымкак, тымкāк	nsvrfr. nsvr6r	men's outer pants of sealskin with hair side out, worn over inner pants of reindeer skin	pants (men's outer ~ of sealskin with hair side out, worn over inner pants of reindeer skin)				this is a dual; the singular would be temkaq or temkaq* (same as the name for the seal)				< temkaq-dual			temkak, temkak	temkak, temkxk
temkaq	тымкақ	nsvrf2	old spotted seal (Phoca largha) or ring seal (Phoca hispada)	spotted seal, old	ring seal, old	seal, ring or spotted, old	Phoca largha (spotted seal) or Phoca hispada (ring seal), old					PY t0mkaq (under PE t0m0); < tema-? (?)			temkaq	temkaq
temkasegaq	тымкасыгақ	nsvrfcsuf2	piece of sealskin	piece of sealskin	sealskin, piece			Chukotkan	kjcren jn ythgbxmtq irehs		check to see if used on SLI	< temkaq-?	Rub. 515		temkasegaq	temkasegaq
temkawaa	тымкаӱā	nsvrf16	ball; mass	ball	mass			Chukotkan (R); questioned					Rub. 515		temkawa	temkawx
temli-	тымли-	nsvkb-	to sleepwalk; to talk in sleep	talk in sleep	sleepwalk	walk in sleep		temliiq ‘walked in his sleep’				PE 0t0mli- (under PE 0t03-)	CK V & E 172 (3rd gloss)		temli-	temli-
temlilleq	тымлӣльық	nsvk7k]s2	seam on the front shin part of a boot	seam on the front shin part of a boot				Chukotkan (R)					CK Rub 515		temlilleq	temlilleq
temngi	тымңи	nsv3b	for no real or particular reason; any old way; without plan or forethought	reason (for no real or particular ~)	any old way	without plan or forethought		particle; temngi laalightaagunga ‘I just dropped by for no particular reason’; temngi legan kakimakanga ‘she just sewed it up any old way’				from Chukchi t0m&i ‘for no real reason, just like that, in vain’			temngi	temngi
temngingu-	тымңиңу-	nsv3b3e-	to be nonsense; to be foolish	nonsense (be ~)	foolish (be ~)							< temngi-(ng)u-			temngingu-	temngingu-
temngitwha-	тымңитӱьа-	nsv3bn1]f-	to act wastefully; to spread lies; to waste time	waste time	act wastefully	lies (spread ~)						from Chukchi t0m&etwak ‘be without occupation, be idle’		14	temngitwha-	temngitwha-
temsiyaaghagh-	тымсия̄ӷаӷ-	nsvcb94f4-	to smile faintly wanting to laugh but suppressing it	smile faintly wanting to laugh but suppressing it				temsiyaaghaghtuq ‘he is smiling faintly’ / temsiyaaghaataa ‘he is smiling faintly at him’; temsiyaaghaatkaa ‘he is smiling faintly about it’				PE t0mci-			temsiyaghagh-	temsiyxghagh-
tenema	тыныма	nsysvf	cause of something; beginning	cause of something	beginning			nazighaghsiq aqlagham tenemenga ‘February is the beginning of the cold’; sukilpaam tenemenga taakwanteftuq naaygham gginaani ‘at that time auklets begin to be present on the face of the mountain’				from Chukchi ?		x	tenema	tenema
tengaa-	тыңā-	ns36-	to fly around	fly around				tengaaguq ‘it flew around’ /				< tenge-?-			tenga-	tengx-
tengae	тыңаы	ns3fs	pubic hair	pubic hair	hair, pubic							PE t0&0			tengae	tengae
Tengagergen	Тыңагыргын	Ns3fushusy	god figure in Chukotkan stories	god figure in Chukotkan stories				Ayumiq aapghaqaat angeghllalghii ighaleqetaaghllak aghtaghaam tunganganilnguq aatgha Tengagergen. … Whangkutanguq Tengagergem ulimaaqeftiinkut. ‘Long ago they used to speak of a huge star that appeared before dawn; its name was Tengagergen. … They’d say that Tengagergem created us.’ (UNGIPAGHAGH. 44)				from Chukchi t0&a!0r!0n ‘dawn, daybreak, growth’			tengagergen	tengagergen
tengaasta	тыңāста	ns36cnf	pilot	pilot								< tengaa-(s)ta			tengasta	tengxsta
tengayuk	тыңаюк	ns3f/r	decoration (as on drum) of long hairs from throat of reindeer or caribou	decoration (as on drum) of long hairs from throat of reindeer or caribou								< tenga-?; PE t0&ayu! (under PE t0&0)			tengayuk	tengayuk
tenge-	тыңы-	ns3s-	to take off in flight; to fly (off)	fly (off)	take off in flight			tenguq ‘it took off’ / tengtaa ‘it (the wind) blew it away’; tengutaa ‘he took off with it (airplane) or with her (fellow traveler, passenger)’				PE t0&0-			tenge-	tenge-
tengegkayuk	тыңыхкаюк	ns3s[rf/r	airplane	airplane				a Gambell (and Chukotkan) word; also plural, tengegkayuget, for one airplane; tengegkayuget tengut ‘the airplane(s) took off’; tengegkayuget nalugtut ‘the airplane(s) landed’; Weni tengegkayuklu kaataghsagutuq. Mail-engyagutukutlu utaqlighllagpenaamta. ‘And then the airplane started arriving more often. We began to get mail without having to wait for a long time.’ (SIVUQ. NANGAGH. 1:56); Sivulighmi nekeftelleghmi saama tengaastengi tengegkayuget, kiyaghsimaak maalghuk Amerikaghmi uyughakek Rayt. 'The first to build an airplane for sustained flight were two Americans, the Wright brothers.' (NATEN YUUK 18); = tengkayuk				< tenge-kayuk			tengegkayuk	tengegkayuk
tengengaaghaq	тыңыңāӷақ	ns3s364f2	young bird ready to fly	bird, young, ready to fly								< tenge-?-			tengengaghaq	tengengxghaq
tengertaq	тыңыштақ	ns3sinf2	chilled puree of boiled fish, broth and seal oil	puree, chilled, of boiled fish, broth and seal oil	dish of chilled puree of boiled fish, broth and seal oil										tengertaq	tengertaq
tengghu-	тыңӷу-	ns34e-	enthusiastic	enthusiastic				emotional root; tengghuyugtuq ‘he is enthusiastic’; tengghukaa ‘he is enthusiastic about it’; tengghunaghtuq ‘it makes one enthusiastic’				PY t0&3u-			tengghu-	tengghu-
tengghuniqe-	тыңӷуниқы-	ns34eyb2s-	to have fun	fun (have ~)								< tengghu-neq-liqe-			tengghuniqe-	tengghuniqe-
tengilghaaghqe-	тыңилӷāҳқы-	ns3bk4652s-	to make dust or debris fly around; to cause many birds to fly off	make dust or debris fly around	cause many birds to fly off			aghuliightek mallaq tengilghaaghqaghsi ‘stop, you all are making the dust fly around’; sukilpaq tamaa naghuyam tengelghaaghqaa ‘the sea gulls are making the auklets  fly off’					CK A & W 127		tengilghaghqe-	tengilghxghqe-
tengkayuk	тыңкаюк	ns3rf/r	airplane	airplane				a Savoonga word; also plural, tengkayuget, for one airplane; tengegkayuget tengut ‘the airplane(s) took off’; tengkayuget nalugtut ‘the airplane(s) landed’; = tengegkayuk				< tenge-kayuk			tengkayuk	tengkayuk
tenglepegragh-	тыңлыпыграӷ-	ns3ksgsuhf4-	to tap	tap								< tenglug-?-ragh-			tenglepegragh-	tenglepegragh-
tenglug-	тыңлюг-	ns3k/u-	to punch with one's fist	punch with one's fist				tenglugaa ‘he punched him’ /				PE t0&lu!(-)			tenglug-	tenglug-
tenglugtugh-	тыңлюхтуӷ-	ns3k/[ne4-	to knock on the door	knock on the door								< tenglug-tugh2-			tenglugtugh-	tenglugtugh-
tengneq	тыңнық	ns3ys2	recluse; savage; lesser spirit	recluse	spirit, lesser	savage		the spirit is rarely  seen, but does goes in anywhere (whereas a tughneghaq is said to only  go into clean houses)	lbrbq xtkjdtr\ lbrfhm				Rub. 517;   W. James		tengneq	tengneq
tengngaak	тыңьāк	ns3]6r	deep hollow sound such as distant thunder	deep hollow sound such as distant thunder	hollow deep sound	sound, hollow and deep		… temngi tengngaagtaghllequnga nalighmeng lengaaghtaghllequnga piniqinghilkuma. ‘… just pointlessly I will be making hollow thundering sounds or I will be making ringing noises (“I am become as sounding brass, or a tinkling cymbal”) If I don’t have love.’ (1 Corinthians 13.1)							tengngak	tengngxk
tengqalluk	тыңқальюк	ns32fk]/r	windy, wet weather with water blown about from the sea	windy, wet weather with water blown about from the sea								< tenge-?-lluk			tengqalluk	tengqalluk
